,Unnamed: 0,composition,mp-id,target,space_group
0,0,ZrTe,mp-1539.cif,0.0,187.0
1,1,MnGaNi2,mp-20228.cif,0.0,225.0
3,3,Y(SiPt)2,mp-3999.cif,0.0,139.0
4,4,Y(SiPt)2,mp-1080646.cif,0.0,129.0
7,7,Yb(GaS2)2,mp-1104569.cif,2.3,66.0
8,8,TiFeH2,mp-1079106.cif,0.0,26.0
9,9,ZnCu2GeS4,mp-1105527.cif,2.1,31.0
10,10,U(CoGe)2,mp-1079975.cif,0.0,129.0
12,12,Al2Ru,mp-1009834.cif,0.0,139.0
13,13,YAlPd,mp-1095464.cif,0.0,62.0
14,14,TiFeH2,,0.0,10.0
15,15,KSb(SO4)2,mp-1195296.cif,4.64,14.0
16,16,Cu(NO3)2,,0.0,14.0
18,18,SmAs2Au,mp-978809.cif,0.0,62.0
19,19,K(OsO3)2,mp-554461.cif,0.0,2.0
20,20,UHg4(AsCl3)2,mp-570252.cif,1.9,61.0
21,21,UHg3(TeCl3)2,mp-567543.cif,2.6,14.0
24,24,NiAgO2,mp-19284.cif,0.0,194.0
28,28,Cu4As2O9,mp-559159.cif,0.0,2.0
29,29,ZrTe,mp-568865.cif,0.0,62.0
30,30,Cu2PHO5,mp-1200251.cif,0.0,14.0
31,31,YbH2ClO2,mp-1191250.cif,0.0,62.0
32,32,YbH2ClO2,mp-979964.cif,0.0,11.0
33,33,Cu2H3ClO3,mp-1181662.cif,0.0,14.0
34,34,Cu2H3ClO3,mp-1201073.cif,0.0,2.0
35,35,RbUAgS3,mp-13350.cif,0.0,63.0
37,37,K(OsO3)2,mp-4788.cif,0.0,227.0
39,39,RbH2(IO3)3,mp-1196732.cif,4.07,14.0
40,40,RbH2(IO3)3,mp-1192404.cif,4.07,1.0
41,41,Mg5B3O9F,mp-560026.cif,5.63,62.0
47,47,Sc2MnC,mp-999256.cif,0.0,216.0
48,48,Sc2MnC,mp-999257.cif,0.0,225.0
49,49,Na2Cl,mp-1077288.cif,0.0,74.0
50,50,Na2Cl,mp-1077015.cif,0.0,65.0
51,51,Na2Cl,mp-1018810.cif,0.0,123.0
52,52,ZnCu2SnSe4,mp-1078918.cif,1.44,82.0
53,53,CrNi3,mp-1007975.cif,0.0,225.0
54,54,CrNi3,mp-1007923.cif,0.0,139.0
55,55,CrNi3,mp-1007974.cif,0.0,221.0
57,57,AlCu3,mp-1008555.cif,0.0,221.0
59,59,YbSm2CuS5,mp-1215834.cif,1.28,62.0
60,60,YbCe2CuSe5,,1.05,62.0
61,61,YbCe2CuS5,,1.37,62.0
62,62,SmAs2Au,mp-1179432.cif,0.0,57.0
64,64,CeTl2P2S7,mp-638100.cif,2.4,14.0
66,66,Ti2CuS4,mp-559918.cif,0.0,166.0
67,67,TcB,mp-1002184.cif,0.0,216.0
68,68,TcB,mp-1002183.cif,0.0,221.0
69,69,TcB,mp-1002187.cif,0.0,225.0
70,70,TcB,mp-999118.cif,0.0,194.0
71,71,TcB,mp-1067451.cif,0.0,186.0
72,72,TcB,mp-1002188.cif,0.0,187.0
73,73,PtN,mp-13174.cif,0.0,216.0
74,74,PtN,mp-13175.cif,0.0,225.0
75,75,PtN,mp-13173.cif,0.0,194.0
76,76,MnGaNi2,mp-604537.cif,0.0,12.0
78,78,YAlPd,mp-12961.cif,0.0,189.0
79,79,K(OsO3)2,,0.0,216.0
84,84,AlCu3,mp-12802.cif,0.0,59.0
85,85,AlCu3,mp-12777.cif,0.0,225.0
88,88,BiPd,mp-1008488.cif,0.0,194.0
89,89,Cu3Pd,mp-672265.cif,0.0,123.0
91,91,Cu3Pd,mp-680639.cif,0.0,99.0
92,92,Cu3Pd,mp-580357.cif,0.0,221.0
94,94,ZnCu2SnSe4,mp-16564.cif,1.44,121.0
100,100,Tl2PAuS4,mp-9510.cif,2.2,11.0
101,101,K2PAuS4,mp-9509.cif,2.63,11.0
102,102,PH6NO4,mp-23672.cif,6.8,122.0
103,103,Te2Pd,mp-782.cif,1.8,164.0
104,104,Cu(NO3)2,mp-662543.cif,0.0,60.0
105,105,Cu4As2O9,mp-21770.cif,0.0,62.0
108,108,NiAgO2,mp-19069.cif,0.0,166.0
111,111,Cu2H3ClO3,mp-559094.cif,0.0,11.0
112,112,Cu2H3ClO3,mp-642737.cif,0.0,166.0
113,113,ZnCu2GeS4,61693.cif,2.1,121.0
114,114,Cu2H3ClO3,mp-510547.cif,0.0,62.0
117,117,Ce2SiSeO4,mp-542664.cif,0.0,57.0
118,118,Al2Ru,mp-10910.cif,0.0,70.0
119,119,BiPd,mp-569727.cif,0.0,36.0
120,120,U(CoGe)2,mp-20776.cif,0.0,139.0
122,122,BiPd,mp-23206.cif,0.0,4.0
125,125,Ti2CuS4,mp-3951.cif,0.0,227.0
126,126,Er(CuGe)2,mp-5083.cif,0.0,139.0
127,127,ZrTe,mp-1319.cif,0.0,194.0
131,131,CrPbO4,mp-19146.cif,2.25,14.0
136,136,Cu(NO3)2,mp-640926.cif,0.0,31.0
137,137,Yb(GaS2)2,mp-561799.cif,2.3,70.0
138,138,NaB15,mp-2315.cif,0.32,74.0
139,139,Mg5B3O9F,,5.63,33.0
140,140,RbH3(SeO3)2,mp-720572.cif,4.84,19.0
141,141,EuF3,mp-19908.cif,0.0,62.0
142,142,EuRhO3,mp-19801.cif,0.0,62.0
144,144,Ho2S3,mp-878.cif,0.5,11.0
145,145,HoAlB14,mp-569726.cif,0.0,74.0
146,146,In3CuSe5,,0.6,121.0
147,147,K2PAuS4,mp-9509.cif,2.63,11.0
148,148,K2Te,mp-1747.cif,1.9,225.0
149,149,KAgF3,mp-1205357.cif,0.0,62.0
150,150,LiCl,mp-22905.cif,9.33,225.0
152,152,LiTmSn2,mp-1080066.cif,0.0,63.0
153,153,Mn(SbO3)2,mp-22576.cif,0.0,150.0
154,154,NaB15,mp-2315.cif,0.32,74.0
156,156,P2Pd,mp-28266.cif,0.65,15.0
160,160,PrGeAu,mp-1019094.cif,0.0,186.0
163,163,SbRuSe,mp-1102395.cif,0.9,14.0
166,166,Sr2Cu(ClO)2,mp-23102.cif,0.0,139.0
167,167,Sr2SmTaO6,mp-1208761.cif,3.38,14.0
169,169,USeS,mp-19924.cif,0.0,62.0
170,170,Y2S3,mp-541289.cif,2.9,11.0
171,171,YTiO3,mp-4355.cif,0.0,62.0
