composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li3.975 Ge0.975 Sb0.025 S4,3.76E-06,-5.424812155,0.4732,0025Sb_final.cif,25,10.1021/acs.chemmater.2c00608
Li3.95 Ge0.95 Sb0.05 S4,7.38E-06,-5.131943638,0.4703,005Sb_final.cif,25,10.1021/acs.chemmater.2c00608
Li3.05 Sn0.05 Sb0.95 S4,3.65E-09,-8.437707136,0.68074,005Sn.cif,25,"Bianca Helm, paper in preparation"
Li3 Sb0.9 P0.1 S4,1.20E-09,-8.920818754,0.7386,010P.cif,25,"Bianca Helm, paper in preparation"
Li3.9 Ge0.9 Sb0.1 S4,1.37E-05,-4.863279433,0.4534,010Sb_final.cif,25,10.1021/acs.chemmater.2c00608
Li3.1 Sn0.1 Sb0.9 S4,3.76E-08,-7.424812155,0.59823,010Sn.cif,25,"Bianca Helm, paper in preparation"
Li2.9 Zr0.1 In0.9 Cl6,0.000771149,-3.1128617,0.39011,010Zr.cif,25,10.1021/acs.chemmater.1c01348
Li3.85 Ge0.85 Sb0.15 S4,1.69E-05,-4.772113295,0.461,015Sb_final.cif,25,10.1021/acs.chemmater.2c00608
Li3.15 Sn0.15 Sb0.85 S4,2.56E-06,-5.591760035,0.42023,015Sn.cif,25,"Bianca Helm, paper in preparation"
Li3 Sb0.8 P0.2 S4,3.06E-08,-7.514278574,0.61701,020P.cif,25,"Bianca Helm, paper in preparation"
Li3.8 Ge0.8 Sb0.2 S4,1.64E-05,-4.785156152,0.4484,020Sb_final.cif,25,10.1021/acs.chemmater.2c00608
Li3.2 Sn0.2 Sb0.8 S4,2.93E-06,-5.53313238,0.43411,020Sn.cif,25,"Bianca Helm, paper in preparation"
Li2.8 Zr0.2 In0.8 Cl6,0.000799153,-3.097370066,0.38258,020Zr.cif,25,10.1021/acs.chemmater.1c01348
Li3 Sb0.7 P0.3 S4,1.05E-07,-6.978810701,0.507,030P.cif,25,"Bianca Helm, paper in preparation"
Li2.7 Zr0.3 In0.7 Cl6,0.000935551,-3.028932533,0.36511,030Zr.cif,25,10.1021/acs.chemmater.1c01348
