,Unnamed: 0,composition,mp-id,target
0,0,LiPO3,mp-1202801.cif,1.5
1,1,BiPO4,mvc-9620.cif,22.2
5,5,MgF2,mp-1249.cif,2.4426666666666663
7,7,LiClO4,mp-30301.cif,5.5
8,8,CeVI,,3.6
9,9,ZnWO4,mp-1205368.cif,17.266000000000002
10,10,Te2Mo,mp-1120746.cif,9.78
11,11,Li2Mg3BO6,,14.345
12,12,CsPbI3,mp-540839.cif,8.0
15,15,Ba0.69Sr0.31Ti1O3,,294.0
16,16,BPO,,3.1025
18,18,LaCrO3,mp-19357.cif,5000.0
19,19,LiMn2O4,mp-756371.cif,11.008
20,20,Y2O3,mp-777514.cif,13.320089285714287
21,21,PHIF,,16.765333333333327
23,23,BaAl2O4,mp-3828.cif,11.3
26,26,CuBr,mp-32880.cif,6.378600000000001
27,27,BaZrO3,mp-3834.cif,39.16875
29,29,Zr2CO2,,7.0
31,31,CsPbBr3,mp-600089.cif,4.8
32,32,Ag5SbS4,mp-4004.cif,5.900000000000001
34,34,Ba0.71Sr0.29Ti1O3,,811.0
35,35,HC3O,,18.4825
41,41,BSI,,18.6
42,42,CdTe,43712.cif,9.4379
43,43,H3NClF,,144.40300000000002
46,46,Ho2TiCuO6,mp-1224098.cif,53.0
47,47,AcNpO2,,192.0
49,49,RuCl,,372.0
50,50,PCl,,8.6
51,51,YScO3,mp-755165.cif,14.5
52,52,VCO,,11.95
58,58,BaTiAl2SiO8,,2300.0
59,59,Ba0.4Sr0.6Ti1O3,,790.0
61,61,BaCeO3,mp-5663.cif,98.0
65,65,AlAs,mp-8881.cif,9.18451612903226
66,66,ZnTe,mp-9281.cif,8.388181818181817
67,67,Nd2Ti2O7,mp-555785.cif,36.16666666666666
70,70,Nd2MoO6,mp-18494.cif,13.800000000000002
73,73,Al0.4Ga0.6N1,,9.22
76,76,HfTiO,,45.9
78,78,Zn(FeO2)2,mp-530392.cif,7.036
79,79,Tb2O3,mp-2457.cif,14.0
80,80,Mg4Ta2O9,mp-17481.cif,13.0
82,82,LiTaO3,mp-3666.cif,43.92122033898305
83,83,KTiPO5,mp-1198407.cif,13.0
84,84,TiBi4,,123.0
85,85,Au2S,78718.cif,5.4
87,87,Ba3Ti5.1Nb5.9O27.95,,38.3
88,88,AlSb,mp-2624.cif,11.576333333333332
89,89,GaSb,mp-1156.cif,15.026692307692306
90,90,InP,24517.cif,12.38315
91,91,CuO2,mp-614565.cif,8.433333333333334
93,93,LaZrTiPbO3,,1000.0
94,94,BaZrTiO3,,17.3
95,95,CaF2,mp-10464.cif,6.388095238095239
96,96,BaBrCl,mp-1100395.cif,3.526666666666667
97,97,BaIBr,mp-1214491.cif,3.846666666666666
99,99,ScIr2,mp-2263.cif,188.0
100,100,Mg0.5Zn0.3Cr0.2Co2O4,,1.02
101,101,Mg0.5Zn0.2Cr0.3Co2O4,,1.07
102,102,SiN,,7.011852941176471
105,105,Ba5LaMgNb9O30,,325.0
106,106,LiPF6,mp-9143.cif,18.0
108,108,Li2Mg3TiO6,,14.840769230769231
110,110,Li2Ca0.12Mg2.88Ti1O6,,17.800000000000004
116,116,BH4C6N,,5.6875
117,117,Li2Ca0.4Mg3.6Ti1O7,,15.79
118,118,YCO,,110.0
119,119,CaMgSiO4,202286.cif,6.835416666666667
121,121,YTiNbO6,mp-1216120.cif,19.0
125,125,K2NiF4,mp-556546.cif,19.0
126,126,Te3Se17,,8.335
129,129,YCrO3,mp-18725.cif,1.56
130,130,Mg2SiO4,mp-7983.cif,7.1440625
