,Unnamed: 0,composition,mp-id,target
1,1,GaAs,mp-2534.cif,3.5330398734177217
2,2,AlAs,mp-8881.cif,2.939283333333334
3,3,InP,24517.cif,3.218971212121212
4,4,ZnSe,652222.cif,2.5144309941520464
5,5,ZnTe,mp-9281.cif,2.673272222222222
6,6,GaN,mp-1245150.cif,2.5098131067961167
10,10,TiO2,mp-1245308.cif,2.4073057073891624
11,11,Nb2O5,mp-1101660.cif,2.235878571428571
13,13,Al2O3,mp-1244892.cif,1.75347518404908
15,15,TeSe4,,2.17
16,16,Te9PbSe40,,1.38
17,17,TePbSe8,,2.01
18,18,As2S3,mp-641.cif,2.375691780821918
20,20,As12(SeS)19,,2.32
22,22,Sn3As30Se4S63,,2.8
23,23,As2Se3,mp-1078443.cif,2.7944222222222224
24,24,Ge0.25Se0.75,,2.4
25,25,Ge0.25Te0.1Se0.65,,2.5
26,26,Ge0.28Sb0.12Se0.6,,2.61
27,27,BS,,1.667142857142857
29,29,BS3,,1.816
30,30,LaF3,mp-17171.cif,1.5848799999999998
31,31,CaF2,mp-10464.cif,1.5575513636363638
32,32,YAlO3,27100.cif,2.099076923076923
33,33,LiYF4,mp-3941.cif,1.49
34,34,Gd2SiO5,mp-542831.cif,1.8533333333333333
35,35,Lu2SiO5,mp-16969.cif,1.81
38,38,Sr2B5BrO9,mp-1209005.cif,1.65
39,39,SrLiAlF6,mp-6591.cif,1.4166666666666667
40,40,LiCaAlF6,mp-6134.cif,1.4125
42,42,BaF2,mp-555585.cif,1.5072164285714285
43,43,Ca2Al2SiO7,mp-677549.cif,1.6588
44,44,YPO4,mp-1232370.cif,1.75
45,45,Cu2S,166578.cif,3.24
46,46,LiSmYB,,1.585
47,47,LiLaSmB,,1.5966
48,48,CdB,,1.523
49,49,PrCdB,,1.538
51,51,SmCdB,,1.529
53,53,HfO2,mp-775757.cif,1.973416058394161
54,54,SnO2,mvc-6071.cif,2.010102272727273
56,56,ZrAlO,,2.0718000000000005
58,58,Se3S,,4.786666666666667
59,59,Cd2Se75S23,,3.73
60,60,Cd4(Se25S7)3,,2.59
61,61,Cd6Se75S19,,2.418333333333333
63,63,In2O3,mp-1245022.cif,2.235094594594594
66,66,ZnS,mp-1201158.cif,2.3805320158102767
67,67,CsI,mp-614603.cif,1.7905812500000002
68,68,CsBr,mp-22906.cif,1.7564379310344826
70,70,KCl,KCl_mp-23193.cif,1.5181585542168672
71,71,RbBr,RbBr_mp-22867.cif,1.6525599999999998
75,75,Sn3Sb4(As10Se21)3,,2.7999999999999994
78,78,La3Ga7S15,,2.7
79,79,La5Ce3(Ga2S5)6,,2.54
80,80,LaOF,mp-7100.cif,5.031282051282052
82,82,In2Ga15Se83,,2.9
89,89,Al0.9Ga0.1As1,,3.15
93,93,AgBr,mp-866291.cif,2.0262
94,94,Fe19Ni81,,2.25
96,96,Cd0.45Se0.55,,2.4916666666666667
98,98,Cd0.55Se0.45,,2.595
99,99,Cd0.6Se0.4,,2.7550000000000003
103,103,InSb,mp-1007661.cif,3.9615965517241376
104,104,ZnCdF,,1.518
105,105,ZnTeO,,2.036
107,107,PbOF,,1.779
108,108,Sr2Nb2O7,mp-15590.cif,2.3831666666666664
109,109,Sr2Ta2O7,mp-12286.cif,2.39
111,111,SiN,,2.053872023809524
113,113,Zn0.94Cu0.06Te1,,2.47
114,114,Zn0.92Cu0.08Te1,,3.03
117,117,BSO,,1.929333333333333
118,118,As38.8Se61.2,,2.78025
119,119,AgTe4Se15,,2.38
124,124,CdTe,43712.cif,2.8549284507042256
125,125,HgSe,mp-1018722.cif,2.7347294117647056
126,126,CuCl,mp-22914.cif,2.2273333333333327
127,127,CuBr,mp-32880.cif,2.330047058823529
130,130,PbS,183248.cif,3.8045
140,140,InCuSe2,250247.cif,3.198333333333333
143,143,GaAgS2,mp-1096972.cif,2.4224
146,146,ZnSiP2,mp-4763.cif,3.0297692307692308
150,150,ZnSnP2,mp-4175.cif,2.945466666666667
152,152,CdSiP2,620242.cif,2.829416666666667
153,153,CdGeAs2,mp-4953.cif,3.485714285714285
154,154,CdGeP2,CdGeP2_mp-3668.cif,2.859785714285714
156,156,CdSnP2,620246.cif,3.141090909090909
157,157,RbCl,mp-23295.cif,1.5235
159,159,SrO,mp-754824.cif,1.942865217391304
160,160,MnO,mp-19006.cif,2.006576
161,161,GeO2,mp-1190549.cif,1.8251783783783784
162,162,Sb2O3,mp-560607.cif,1.85415
163,163,HgO,mp-7826.cif,2.5159090909090907
166,166,Ga2O3,mp-1245167.cif,2.021702702702703
169,169,Fe2O3,mp-1245019.cif,2.81711875
171,171,NiO,mp-19009.cif,1.967081632653061
173,173,MoO3,mvc-12752.cif,2.175512195121952
174,174,CaWO4,mp-19426.cif,1.925333333333333
177,177,Te2As3Se4I,,2.821
178,178,Te2As4Se3I,,2.872525
180,180,Yb2O3,mp-1196954.cif,1.8088333333333333
182,182,TeO2,mp-557.cif,2.011419230769231
183,183,La2O3,26864.cif,2.0054444444444446
184,184,Y2O3,mp-777514.cif,1.8141034482758616
186,186,AlAgS2,604698.cif,2.279714285714286
187,187,H6C3O,,1.392
192,192,La7.9Si10N3.53O26.56,,1.77
193,193,La8.15Si10N4.19O25.93,,1.8
195,195,La7.06Si10N5.55O22.27,,1.84
196,196,La7.45Si10N5.05O23.59,,1.84
197,197,La7.59Si10N5.62O22.95,,1.87
199,199,La8.52Si10N6.36O23.25,,1.88
200,200,La8.25Si10N8.06O20.28,,1.89
201,201,La8.82Si10N8.22O20.89,,1.89
202,202,La16.1Si10N9.62O29.68,,1.94
204,204,La11.62Si10N9.03O23.89,,1.92
205,205,La13.4Si10N15.54O16.78,,1.95
206,206,La11.03Si10N10.75O20.42,,1.94
207,207,La14.62Si10N15.67O18.4,,1.96
208,208,La12.04Si10N12.24O19.7,,1.94
209,209,La18.15Si10N16.13O23.02,,1.98
211,211,La10.64Si10N15.36O12.92,,2.06
212,212,La12.33Si10N19.38O9.42,,2.2
213,213,La13.1Si10N18.23O12.57,,2.31
214,214,La14.04Si10N14.5O19.39,,1.94
215,215,La21.72Si10N28.32O10.11,,2.28
216,216,KF995,,1.4
218,218,LiIO3,mp-1180548.cif,1.8395
219,219,KGd(WO4)2,mp-553938.cif,1.986
220,220,Na3AlF6,mp-3416.cif,1.3500000000000003
221,221,Nb2O3,mp-1095187.cif,2.25
222,222,AlNO,,1.7637999999999998
224,224,MgAl2O4,mp-38307.cif,1.415
225,225,Er0.25Nb2.5,,1.58
227,227,Er0.25Nb40,,1.95
228,228,Yb5Er0.25Nb2.5,,1.59
229,229,Yb5Er0.25,,1.88
231,231,CN972,,1.5
234,234,AlCdSiO,,1.71
235,235,Zn(PO3)2,mp-8230.cif,1.5295
238,238,LiCaB,,1.49
240,240,NO2,mp-2789.cif,1.5288666666666666
241,241,GeSe4,,3.2750000000000004
242,242,Ag6Ge18.8Se75.2,,2.65
243,243,BaY2F8,mp-753990.cif,1.4993333333333334
246,246,ZnWO4,mp-1205368.cif,2.1166666666666667
247,247,CaMoO4,mp-1182403.cif,1.9787875
249,249,GeS2,167194.cif,2.118954545454545
